ATT_NUMBER,SEASON,WEEK,GDATE,WEEKDAY,TIME,TIME_BUCKET,WIN_LOSS,HOME_GAME,OT,REG_OR_POST,OPP,OPP_DIVISION,OPP_CONFERENCE,QTR,DOWN,YTG,COMPLETION,RECEIVER,RECEIVER_ID,RECEIVER_POS,YDS,TD,INT,FIRST_DOWN,AIR_YDS,YDS_AFTER_CATCH,QB_POSITION,FIELD_TARGET
Attempt number ... unique ID,Year in which season began,"Week number, NOT game number",Game date,"Day of the week, 1=Sunday","Kickoff time, approx.","Is the kickoff time early (noon or earlier), late (2 or later), or primetime (7pm or later)",Game result,Was the game a home game? 1= yes,Did the game reach overtime? 1=yes,Regular season game? Or postseason game,Opponent name,Opponent division,Opponent conference,Game quarter,Which down?,Yards needed for a first down,"Was the pass caught, b1 rule?",Who caught/was the atarget of the pass?,What is the unique ID of the receiver?,The receiver's position,"Total yards for the completed pass, air + YAC",Was the completed pass a touchdown? 1=1es,Was the pass intercepted? 1=1es,Did the completeion result in a first down? 1=1es,"Yards from scrimmage the ball flew in the air to the intended receiver, regardles of whether it was caught",Yards achieved by the receiver running with the ball,Where was the QB standing when the ball was snapped?,"left sideline, left, middle, right, right sideline
"
53,2009,2,9/20/2009,1,3:15 PM,Late,W,1,0,Reg,Steelers,AFC-North,AFC,2,1,10,1,Adrian Peterson,23,RB,7,0,0,0,5,2,Shotgun,LS
55,2009,2,9/20/2009,1,3:15 PM,Late,W,1,0,Reg,Steelers,AFC-North,AFC,2,3,3,1,Adrian Peterson,23,RB,4,0,0,1,0,4,Shotgun,LS
1344,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,1,3,21,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,R
1351,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,1,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,LS
1363,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,2,2,9,1,Alshon Jeffery,11,WR,15,0,0,1,13,2,Under Center,M
1371,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,3,1,10,1,Alshon Jeffery,11,WR,23,0,0,1,5,18,Under Center,RS
1378,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,4,2,7,1,Alshon Jeffery,11,WR,42,1,0,1,42,0,Under Center,R
1383,2012,2,9/13/2012,5,7:20 PM,Primetime,L,0,0,Reg,Packers,NFC-North,NFC,2,3,33,1,Alshon Jeffery,11,WR,7,0,0,0,5,2,Shotgun,L
1386,2012,2,9/13/2012,5,7:20 PM,Primetime,L,0,0,Reg,Packers,NFC-North,NFC,2,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
